,Exp #,Batch,Mesh #,Velocity,Density,Exp Complete?
0,0,1,0,0.05,1,True
1,1,1,0,0.15,1,True
2,2,1,0,0.25,1,True
3,3,1,0,0.35,1,True
4,4,1,0,0.05,2,True
5,5,1,0,0.15,2,True
6,6,1,0,0.25,2,True
7,7,1,0,0.35,2,True
8,8,1,0,0.05,3,True
9,9,1,0,0.15,3,True
10,10,1,0,0.25,3,True
11,11,1,0,0.35,3,True
12,12,1,0,0.05,4,True
13,13,1,0,0.15,4,True
14,14,1,0,0.25,4,True
15,15,1,0,0.35,4,False
16,16,1,1,0.05,1,True
17,17,1,1,0.15,1,True
18,18,1,1,0.25,1,True
19,19,1,1,0.35,1,True
20,20,1,1,0.05,2,True
21,21,1,1,0.15,2,True
22,22,1,1,0.25,2,True
23,23,1,1,0.35,2,True
24,24,1,1,0.05,3,True
25,25,1,1,0.15,3,True
26,26,1,1,0.25,3,True
27,27,1,1,0.35,3,True
28,28,1,1,0.05,4,True
29,29,1,1,0.15,4,True
30,30,1,1,0.25,4,True
31,31,1,1,0.35,4,True
32,32,1,2,0.05,1,True
33,33,1,2,0.15,1,True
34,34,1,2,0.25,1,True
35,35,1,2,0.35,1,True
36,36,1,2,0.05,2,True
37,37,1,2,0.15,2,True
38,38,1,2,0.25,2,True
39,39,1,2,0.35,2,True
40,40,1,2,0.05,3,True
41,41,1,2,0.15,3,True
42,42,1,2,0.25,3,True
43,43,1,2,0.35,3,True
44,44,1,2,0.05,4,True
45,45,1,2,0.15,4,True
46,46,1,2,0.25,4,True
47,47,1,2,0.35,4,True
48,48,1,3,0.05,1,True
49,49,1,3,0.15,1,True
50,50,1,3,0.25,1,True
51,51,1,3,0.35,1,True
52,52,1,3,0.05,2,True
53,53,1,3,0.15,2,True
54,54,1,3,0.25,2,True
55,55,1,3,0.35,2,True
56,56,1,3,0.05,3,True
57,57,1,3,0.15,3,True
58,58,1,3,0.25,3,True
59,59,1,3,0.35,3,True
60,60,1,3,0.05,4,True
61,61,1,3,0.15,4,True
62,62,1,3,0.25,4,True
63,63,1,3,0.35,4,True
64,64,1,4,0.05,1,True
65,65,1,4,0.15,1,True
66,66,1,4,0.25,1,True
67,67,1,4,0.35,1,True
68,68,1,4,0.05,2,True
69,69,1,4,0.15,2,True
70,70,1,4,0.25,2,True
71,71,1,4,0.35,2,True
72,72,1,4,0.05,3,True
73,73,1,4,0.15,3,True
74,74,1,4,0.25,3,True
75,75,1,4,0.35,3,True
76,76,1,4,0.05,4,True
77,77,1,4,0.15,4,True
78,78,1,4,0.25,4,False
79,79,1,4,0.35,4,False
80,80,1,5,0.05,1,True
81,81,1,5,0.15,1,True
82,82,1,5,0.25,1,True
83,83,1,5,0.35,1,True
84,84,1,5,0.05,2,True
85,85,1,5,0.15,2,True
86,86,1,5,0.25,2,True
87,87,1,5,0.35,2,True
88,88,1,5,0.05,3,True
89,89,1,5,0.15,3,True
90,90,1,5,0.25,3,True
91,91,1,5,0.35,3,True
92,92,1,5,0.05,4,True
93,93,1,5,0.15,4,True
94,94,1,5,0.25,4,True
95,95,1,5,0.35,4,True
96,96,1,6,0.05,1,True
97,97,1,6,0.15,1,True
98,98,1,6,0.25,1,True
99,99,1,6,0.35,1,True
100,100,1,6,0.05,2,True
101,101,1,6,0.15,2,True
102,102,1,6,0.25,2,True
103,103,1,6,0.35,2,True
104,104,1,6,0.05,3,True
105,105,1,6,0.15,3,True
106,106,1,6,0.25,3,True
107,107,1,6,0.35,3,True
108,108,1,6,0.05,4,True
109,109,1,6,0.15,4,True
110,110,1,6,0.25,4,True
111,111,1,6,0.35,4,True
112,112,1,7,0.05,1,True
113,113,1,7,0.15,1,True
114,114,1,7,0.25,1,True
115,115,1,7,0.35,1,True
116,116,1,7,0.05,2,True
117,117,1,7,0.15,2,True
118,118,1,7,0.25,2,True
119,119,1,7,0.35,2,True
120,120,1,7,0.05,3,True
121,121,1,7,0.15,3,True
122,122,1,7,0.25,3,True
123,123,1,7,0.35,3,True
124,124,1,7,0.05,4,True
125,125,1,7,0.15,4,True
126,126,1,7,0.25,4,True
127,127,1,7,0.35,4,True
128,128,1,8,0.05,1,True
129,129,1,8,0.15,1,True
130,130,1,8,0.25,1,True
131,131,1,8,0.35,1,True
132,132,1,8,0.05,2,True
133,133,1,8,0.15,2,True
134,134,1,8,0.25,2,True
135,135,1,8,0.35,2,True
136,136,1,8,0.05,3,True
137,137,1,8,0.15,3,True
138,138,1,8,0.25,3,True
139,139,1,8,0.35,3,True
140,140,1,8,0.05,4,True
141,141,1,8,0.15,4,True
142,142,1,8,0.25,4,True
143,143,1,8,0.35,4,True
144,144,1,9,0.05,1,True
145,145,1,9,0.15,1,True
146,146,1,9,0.25,1,True
147,147,1,9,0.35,1,True
148,148,1,9,0.05,2,True
149,149,1,9,0.15,2,True
150,150,1,9,0.25,2,True
151,151,1,9,0.35,2,True
152,152,1,9,0.05,3,True
153,153,1,9,0.15,3,True
154,154,1,9,0.25,3,True
155,155,1,9,0.35,3,True
156,156,1,9,0.05,4,True
157,157,1,9,0.15,4,True
158,158,1,9,0.25,4,True
159,159,1,9,0.35,4,True
160,160,2,0,0.05,1,True
161,161,2,0,0.15,1,True
162,162,2,0,0.25,1,True
163,163,2,0,0.35,1,True
164,164,2,0,0.05,2,True
165,165,2,0,0.15,2,False
166,166,2,0,0.25,2,False
167,167,2,0,0.35,2,False
168,168,2,0,0.05,3,False
169,169,2,0,0.15,3,False
170,170,2,0,0.25,3,False
171,171,2,0,0.35,3,False
172,172,2,0,0.05,4,False
173,173,2,0,0.15,4,False
174,174,2,0,0.25,4,False
175,175,2,0,0.35,4,False
176,176,2,1,0.05,1,True
177,177,2,1,0.15,1,True
178,178,2,1,0.25,1,True
179,179,2,1,0.35,1,True
180,180,2,1,0.05,2,False
181,181,2,1,0.15,2,False
182,182,2,1,0.25,2,False
183,183,2,1,0.35,2,False
184,184,2,1,0.05,3,False
185,185,2,1,0.15,3,False
186,186,2,1,0.25,3,False
187,187,2,1,0.35,3,False
188,188,2,1,0.05,4,False
189,189,2,1,0.15,4,False
190,190,2,1,0.25,4,False
191,191,2,1,0.35,4,False
192,192,2,2,0.05,1,True
193,193,2,2,0.15,1,True
194,194,2,2,0.25,1,True
195,195,2,2,0.35,1,True
196,196,2,2,0.05,2,True
197,197,2,2,0.15,2,True
198,198,2,2,0.25,2,True
199,199,2,2,0.35,2,True
200,200,2,2,0.05,3,True
201,201,2,2,0.15,3,True
202,202,2,2,0.25,3,True
203,203,2,2,0.35,3,True
204,204,2,2,0.05,4,True
205,205,2,2,0.15,4,True
206,206,2,2,0.25,4,True
207,207,2,2,0.35,4,True
208,208,2,3,0.05,1,True
209,209,2,3,0.15,1,True
210,210,2,3,0.25,1,True
211,211,2,3,0.35,1,True
212,212,2,3,0.05,2,True
213,213,2,3,0.15,2,True
214,214,2,3,0.25,2,True
215,215,2,3,0.35,2,True
216,216,2,3,0.05,3,True
217,217,2,3,0.15,3,True
218,218,2,3,0.25,3,True
219,219,2,3,0.35,3,True
220,220,2,3,0.05,4,True
221,221,2,3,0.15,4,True
222,222,2,3,0.25,4,True
223,223,2,3,0.35,4,True
224,224,2,4,0.05,1,True
225,225,2,4,0.15,1,True
226,226,2,4,0.25,1,True
227,227,2,4,0.35,1,True
228,228,2,4,0.05,2,True
229,229,2,4,0.15,2,True
230,230,2,4,0.25,2,True
231,231,2,4,0.35,2,True
232,232,2,4,0.05,3,True
233,233,2,4,0.15,3,True
234,234,2,4,0.25,3,True
235,235,2,4,0.35,3,True
236,236,2,4,0.05,4,True
237,237,2,4,0.15,4,True
238,238,2,4,0.25,4,True
239,239,2,4,0.35,4,True
240,240,2,5,0.05,1,True
241,241,2,5,0.15,1,True
242,242,2,5,0.25,1,True
243,243,2,5,0.35,1,True
244,244,2,5,0.05,2,True
245,245,2,5,0.15,2,True
246,246,2,5,0.25,2,True
247,247,2,5,0.35,2,True
248,248,2,5,0.05,3,True
249,249,2,5,0.15,3,True
250,250,2,5,0.25,3,True
251,251,2,5,0.35,3,True
252,252,2,5,0.05,4,True
253,253,2,5,0.15,4,True
254,254,2,5,0.25,4,True
255,255,2,5,0.35,4,True
256,256,2,6,0.05,1,True
257,257,2,6,0.15,1,True
258,258,2,6,0.25,1,True
259,259,2,6,0.35,1,True
260,260,2,6,0.05,2,True
