Mesh #,D_1,D_subFrac,L_Total,L_subFrac,angle,compFactor
0,0.765032831,0.571570083,3.84894928,0.453225757,26.7854551,0.879731413
1,0.705475399,0.603575625,3.25662616,0.644332706,35.77996171,0.795575448
2,0.533169866,0.793462483,3.066694308,0.437210033,37.3353503,0.957598377
3,0.895396916,0.614793008,3.225414912,0.422834224,37.60550551,0.871250412
4,0.383308615,0.590890798,3.36804694,0.691184647,24.69758619,0.94611681
5,0.416901069,0.775294523,3.687571384,0.625871796,51.97472487,0.947788066
6,0.992554829,0.583510125,4.521077471,0.209595669,23.43363603,0.858137104
7,0.344059433,0.651747268,2.918955604,0.513039814,26.71920908,0.907710251
8,0.437467099,0.645320022,4.011567581,0.228824587,65.23386396,0.877471415
9,0.35713749,0.561874987,3.621902204,0.729400295,48.80008615,0.895239697
10,0.478808713,0.496544695,2.912277118,0.22531756,50.129933,0.756783736
11,0.570112099,0.452329485,3.376825176,0.602046543,27.55880307,0.938984497
12,0.775797263,0.521119881,4.551680749,0.703954847,67.51741189,0.8098271
13,0.812970895,0.415996634,3.148743946,0.502664453,53.06834828,0.866390526
14,0.675229126,0.435001778,2.61415985,0.597348616,63.54691429,0.704297628
15,0.907202696,0.628671695,2.830165055,0.332279934,31.06019628,0.805286859
16,0.375380669,0.511430137,3.497071412,0.41553387,29.14216922,0.962814151
17,0.590629552,0.769903424,2.6272672,0.613331496,46.08289019,0.804224378
18,0.983685626,0.700100731,3.908035313,0.55514235,61.80413098,0.95055451
19,0.60268848,0.458940277,4.282218226,0.779996875,47.6043617,0.898781827
20,0.568734362,0.450393998,3.460918582,0.346355613,24.83240143,0.885867919
21,0.714588253,0.546972267,4.64214132,0.707415737,23.87668501,0.984242341
22,0.867622676,0.419941694,3.131083632,0.468626603,55.08282544,0.837445773
23,0.981252069,0.411613967,2.728565122,0.411859619,48.32755956,0.889766161
24,0.579979959,0.652095726,2.803739427,0.320903845,63.81634788,0.818102718
25,0.782542297,0.480296436,2.714757521,0.756701242,47.45917383,0.888462699
26,0.66896101,0.759994232,4.785603632,0.725331687,25.39560606,0.993997752
27,0.86575563,0.436982912,3.218842046,0.594947897,37.90740851,0.754520883
28,0.938094718,0.668325836,4.129251483,0.53275795,41.44175067,0.750004867
29,0.765845724,0.780087239,3.480627873,0.78335743,27.81314068,0.812661054
30,0.948621641,0.718776542,4.08725199,0.705944917,65.85986536,0.977650425
31,0.793424721,0.423531498,3.465687301,0.278688767,20.32850153,0.862701797
32,0.742748719,0.536257756,3.637055019,0.526246858,32.64092537,0.869165771
33,0.587361585,0.576075687,3.861743964,0.307213395,64.69263363,0.731624818
34,0.748351244,0.59747439,2.579599502,0.714688323,43.99922957,0.929140419
35,0.427225322,0.703209364,2.554642466,0.3308222,60.51153631,0.850016942
36,0.737530647,0.675846119,4.854886017,0.335156558,35.34266967,0.870740264
37,0.758044448,0.578539807,3.639486468,0.285429619,31.49976652,0.816333147
38,0.541801964,0.564196069,3.119279319,0.297590158,54.96923352,0.786516633
39,0.771021046,0.608257509,4.09624422,0.405841865,69.15404825,0.935476625
40,0.550132965,0.695080239,2.85736514,0.731922595,20.94747508,0.917347798
41,0.656370272,0.779609997,3.561829674,0.37872306,44.64502512,0.970578773
42,0.925610003,0.730836593,2.69812952,0.673152767,21.29533076,0.897134812
43,0.729245251,0.76659674,4.111384243,0.774475184,46.73375763,0.742861426
44,0.839868536,0.683433139,3.937771271,0.545391283,29.62866988,0.921020515
45,0.350767089,0.447098624,4.900554237,0.65242864,66.7188801,0.741248855
46,0.432599594,0.796990177,3.762962267,0.794873456,22.22903931,0.981865389
47,0.306121112,0.409944516,4.759779126,0.271559607,58.88213229,0.890917211
48,0.734183187,0.505825937,3.523500171,0.383444503,30.27694005,0.733346268
49,0.440912687,0.486199471,2.56999324,0.764925118,61.13120801,0.900413378
50,0.329548756,0.621791146,3.331252341,0.358868427,58.04263013,0.719850935
51,0.961924394,0.406772064,3.244382083,0.550032474,44.03544735,0.772364956
52,0.697860345,0.623732156,3.751644769,0.763681334,28.50856315,0.848971739
53,0.794673042,0.514039006,3.989643785,0.632337175,49.83987667,0.79800893
54,0.465248096,0.530897031,4.667064445,0.749946224,56.48938752,0.72853402
55,0.489053172,0.43059139,4.61671106,0.263525434,43.37817741,0.769355836
56,0.910124955,0.619842657,4.828323466,0.523632787,49.20252286,0.757077521
57,0.340114971,0.639276849,3.888077564,0.699136598,42.95319491,0.764521559
58,0.978739078,0.457820763,3.971781383,0.53447306,56.18776163,0.779628641
59,0.541346169,0.581781301,4.58523762,0.537561087,41.64401201,0.860839693
60,0.777429015,0.501669797,4.18388649,0.719511308,68.39871549,0.958724249
61,0.971834235,0.587005443,3.200280762,0.388518176,29.78222517,0.767839822
62,0.409516037,0.611456385,2.596976201,0.505661158,65.52738409,0.880000976
63,0.364348137,0.475573371,3.68242605,0.295981447,36.13386242,0.728117964
64,0.355601832,0.705423884,3.302148213,0.567772126,47.785312,0.717306828
65,0.319141781,0.595503334,4.242426726,0.527285775,34.29245846,0.996018867
66,0.891313422,0.737707666,4.501790557,0.301762219,65.44373141,0.882698802
67,0.494104587,0.466849513,4.203999626,0.403557237,67.04220962,0.72640518
68,0.445793689,0.445975326,4.213085136,0.606533344,46.46099045,0.84185913
69,0.582468621,0.714207335,2.817252704,0.466773388,32.36739707,0.77732165
70,0.452083872,0.762567917,3.952520484,0.282803166,49.56282919,0.938248786
71,0.530624693,0.44823812,4.818500116,0.34217099,34.13820591,0.712143441
72,0.849985288,0.640847756,4.368859969,0.434135925,46.78012708,0.961133562
73,0.599079682,0.607978434,3.403986122,0.492141264,40.50483513,0.714242389
